month,year,day,lat,long
10,2002,22,30.125,-103.11667
10,2002,23,-10.66667,35.5
10,2003,00,23.325,91
10,2003,00,56.4,-3.43333
10,2003,02,56.63333,39.43333
10,2003,05,55.5,66.08333
10,2003,16,14.052,0.42
10,2003,18,35.3,-86.63333
10,2003,20,40,-99.25
10,2003,21,11.25,108.58333
10,2003,21,12,105.48333
10,2003,21,15.71667,108.1
10,2003,22,44.24417,11.50222
10,2003,22,58.66667,25.73333
10,2003,22,26.03472,73.94167
10,2003,23,-32.86667,18.71667
10,2004,16,25.8,88.45
10,2004,17,29.58333,76
10,2004,20,31.95,-83.51667
10,2004,20,30.7,-96.11667
10,2004,20,45.275,26.70972
10,2004,22,11.58333,104.91667
10,2004,23,50.93333,12.13333
10,2004,23,26.71667,82.66667
10,2004,23,66.34833,14.015
10,2005,00,53.03639,-4.31944
10,2005,00,34.175,-103.295
10,2005,00,31.41667,118.5
10,2005,00,48.3025,13.94083
10,2005,00,49.66667,14.03333
10,2005,00,39.11667,-83.85
10,2005,00,39.35,-3.51667
10,2005,00,23.36667,75.18333
10,2005,00,52.76667,21.26667
10,2005,01,13.33333,78.95
10,2005,01,-29.03333,-53.05
10,2005,01,32.08333,121.5
10,2005,01,26.53333,106.46667
10,2005,01,-30.11667,28.7
10,2005,01,17.76667,95.18333
10,2005,01,39,-0.66667
10,2005,01,44.61667,126.13333
10,2005,01,46.6,0.25
10,2005,01,-26.66667,-65.45
10,2005,01,27.72528,76.465
10,2005,01,28.225,70.2
10,2005,01,52.98333,37.03333
10,2005,01,26.45,82.9
10,2005,01,24.16667,87.76667
10,2005,01,51.88333,6.93333
10,2005,01,23.98333,87.08333
10,2005,01,19.86667,-100.81667
10,2005,01,25.38333,72.01667
10,2005,03,38.2,115.7
10,2005,06,26.66667,50.15
10,2005,08,52.2,17.98333
10,2005,09,38.13742,-119.75812
10,2005,12,42.475,-5.33333
10,2005,15,-6.73333,111.36667
10,2005,17,44.76667,11.28333
10,2005,18,-32.75,-65.28333
10,2005,19,38.66667,116.13333
10,2005,19,48.6,45.66667
10,2005,20,51.33333,-118.95
10,2005,20,28.2,76.66667
10,2005,20,35.03333,-83.03333
10,2005,20,-44.11667,-66.15
10,2005,21,46.88333,-102.31667
10,2005,21,31.25,-99.03333
10,2005,21,37.46667,-77.5
10,2005,22,-26.1,-49.8
10,2005,22,41.08333,-86.28333
10,2005,23,-23.38333,150.51667
10,2006,01,42.3,0.55
10,2006,01,44.51667,-83.95
10,2006,01,52.76667,-2.51667
10,2006,01,-1.45,29.83333
10,2006,02,0.26667,36.53333
10,2006,06,-10.26667,38.76667
10,2006,12,51.13333,34.5
10,2006,14,27.43333,82.08333
10,2006,14,23.08333,91.66667
10,2006,15,43.73333,1.38333
10,2006,16,45.3,0.23333
10,2006,17,35.66667,136.3
10,2006,17,44.97917,-122.96944
10,2006,18,52.75,11.05
10,2006,19,25.66667,74.86667
10,2006,19,33.48472,-117.6625
10,2006,19,43.66667,13
10,2006,20,-31.01667,-71.4
10,2006,20,19.76667,-100.65
10,2006,20,-29.2,-51.86667
10,2006,20,24.16667,-99.33333
10,2006,21,-33.9,-61.7
10,2006,21,-31.535556,-68.489444
10,2006,21,-20.81,-49.38056
10,2006,21,52.55,46.55
10,2006,21,43.15,-0.85
10,2006,22,47.21667,29.86667
10,2006,22,35.86667,139.4
10,2006,22,49.23333,17.56667
10,2006,23,42.86083,-73.95028
10,2006,23,48.11667,10.46667
10,2006,23,44.36667,-69.2
10,2006,23,38.3,27.13333
10,2006,23,26.75,84.78333
10,2006,23,-7.23333,107.33333
10,2006,23,22.83333,4.98333
10,2006,23,22.25,79
10,2006,23,39.43833,140.51167
10,2006,23,21.68389,79.50083
10,2006,23,41.05,23.56667
10,2006,23,-8.38333,-36.76667
10,2006,23,-19.46667,-44.21667
10,2006,23,37.41667,-6
10,2006,23,50.61667,36.6
10,2006,23,34.75,10.71667
10,2006,23,23.1,87.3
10,2006,23,37.83333,-76.7
10,2006,23,44.05,-80.16667
10,2006,23,24.55,84.83333
10,2006,23,33.65,120.06667
